,citypair,sum_departures_performed,sum_departures_scheduled,passengers,seats,avg_fuel_price,avg_stock_price,total_operating_expense,revenue,Aircraft_Unit_Cost ($ millions USD),Aircraft_Inverse_Age 1/age (1/yrs),Number_of_Cancellations,Proportion of Seats filled,Aircraft Age (yrs),Origin_Airport_Code,Destination_Airport_Code,origin_airport_type,origin_lat,origin_long,origin_city,dest_airport_type,dest_lat,dest_long,dest_city,Route_Distance,origin_population,origin_density,dest_population,dest_density,score
0,ABQ-BWI,108,110,13736,15444,57.42754359,52.84299508,9585665,11058,74,0.090909091,2,0.889406889,11,ABQ,BWI,medium_airport,35.040199,-106.609001,Albuquerque,large_airport,39.1754,-76.668297,Baltimore,1670.23777,765693,1155.5,2205092,2872.8,27.96571158
1,ABQ-DEN,330,337,37782,47510,56.59477769,53.00822626,14229909,16207,74,0.090909091,7,0.795243107,11,ABQ,DEN,medium_airport,35.040199,-106.609001,Albuquerque,large_airport,39.86169815,-104.6729965,Denver,349.1032835,765693,1155.5,2650725,1805.7,25.26652432
2,ABQ-MDW,109,114,14163,16387,57.42754359,52.84299508,9585665,11058,74,0.090909091,5,0.864282663,11,ABQ,MDW,medium_airport,35.040199,-106.609001,Albuquerque,large_airport,41.785999,-87.752403,Chicago,1120.950065,765693,1155.5,8595181,4576.6,23.45190193
3,ABQ-PHX,402,404,47648,57486,54.9292459,53.33868862,4644244,5149,74,0.090909091,2,0.82886268,11,ABQ,PHX,medium_airport,35.040199,-106.609001,Albuquerque,large_airport,33.435302,-112.005905,Phoenix,328.0951692,765693,1155.5,4047095,1251.8,31.84165194
4,ALB-BWI,426,453,52896,63222,56.17839474,53.09084185,18874153,21356,74,0.090909091,27,0.836670779,11,ALB,BWI,medium_airport,42.74829865,-73.80169678,Albany,large_airport,39.1754,-76.668297,Baltimore,288.522944,604077,4345.3,2205092,2872.8,20.6430052
5,ALB-DEN,40,44,4974,6968,58.26030948,52.6777639,14527086,16967,74,0.090909091,4,0.713834673,11,ALB,DEN,medium_airport,42.74829865,-73.80169678,Albany,large_airport,39.86169815,-104.6729965,Denver,1609.676373,604077,4345.3,2650725,1805.7,13.69587138
6,ALB-MCO,220,230,27959,32132,58.26030948,52.6777639,14527086,16967,74,0.090909091,10,0.870129466,11,ALB,MCO,medium_airport,42.74829865,-73.80169678,Albany,large_airport,28.42939949,-81.30899811,Orlando,1072.763895,604077,4345.3,1927699,992,23.90041293
7,ALB-MDW,204,220,26533,33012,57.42754359,52.84299508,19171330,22116,74,0.090909091,16,0.803738035,11,ALB,MDW,medium_airport,42.74829865,-73.80169678,Albany,large_airport,41.785999,-87.752403,Chicago,717.4357808,604077,4345.3,8595181,4576.6,19.10946061
8,ATL-BWI,634,685,67728,91494,57.42754359,52.84299508,19171330,22116,74,0.090909091,51,0.740245262,11,ATL,BWI,large_airport,33.6367,-84.428101,Atlanta,large_airport,39.1754,-76.668297,Baltimore,576.5626254,5046555,1419.9,2205092,2872.8,16.89757836
9,ATL-DEN,428,458,57784,65684,56.92788405,52.94213379,23815574,27265,74,0.090909091,30,0.879727179,11,ATL,DEN,large_airport,33.6367,-84.428101,Atlanta,large_airport,39.86169815,-104.6729965,Denver,1199.257387,5046555,1419.9,2650725,1805.7,23.18551392
10,ATL-MCO,611,618,73260,88365,57.42754359,52.84299508,19171330,22116,74,0.090909091,7,0.82906128,11,ATL,MCO,large_airport,33.6367,-84.428101,Atlanta,large_airport,28.42939949,-81.30899811,Orlando,403.5846941,5046555,1419.9,1927699,992,31.54769575
11,ATL-MDW,578,628,72964,87806,57.42754359,52.84299508,19171330,22116,74,0.090909091,50,0.830968271,11,ATL,MDW,large_airport,33.6367,-84.428101,Atlanta,large_airport,41.785999,-87.752403,Chicago,590.6726491,5046555,1419.9,8595181,4576.6,20.62049709
12,ATL-PHX,98,100,14651,17150,54.9292459,53.33868862,9288488,10298,74,0.090909091,2,0.854285714,11,ATL,PHX,large_airport,33.6367,-84.428101,Atlanta,large_airport,33.435302,-112.005905,Phoenix,1586.962975,5046555,1419.9,4047095,1251.8,25.99582608
13,ATL-SAT,189,196,23480,28979,56.59477769,53.00822626,14229909,16207,74,0.090909091,7,0.810241899,11,ATL,SAT,large_airport,33.6367,-84.428101,Atlanta,large_airport,29.533701,-98.469803,San Antonio,874.1723947,5046555,1419.9,1910785,1633.5,23.08869435
14,AUS-BWI,212,218,26736,35596,56.17839474,53.09084185,18874153,21356,74,0.090909091,6,0.751095629,11,AUS,BWI,large_airport,30.197535,-97.662015,Austin,large_airport,39.1754,-76.668297,Baltimore,1341.466222,1659251,1165.6,2205092,2872.8,22.35391117
15,AUS-DEN,564,580,76962,86668,57.42754359,52.84299508,19171330,22116,74,0.090909091,16,0.888009415,11,AUS,DEN,large_airport,30.197535,-97.662015,Austin,large_airport,39.86169815,-104.6729965,Denver,775.1678488,1659251,1165.6,2650725,1805.7,28.93678127
